AKey,BranchMstrKey,QKey,Answer,PresentationOrder,Details,StartDte,EndDte,Notes,author,created,userid,stamp
{49E30C0B-A38B-4F0E-8D4D-021A23D1767A},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Beagle,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:08:50.260000000,,
{55D194A2-3ABB-4507-99AE-02B4C8A40FD4},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},German Shepherd,4,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:09:01.687000000,,
{C53BADA5-688A-4E0C-AFDD-0E73DAB2BF05},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9F42C405-F94C-46CB-9974-64A7A4518EF5},1001-5000,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 21:33:46.753000000,,
{9168F184-4FC0-4192-B0AB-134EA13ADD57},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{1DBB66A4-B6B4-4C71-85F0-464D77A4836E},Maine Coon,4,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:11:18.160000000,,
{7AC8ED5A-575B-46A6-B310-145A6A541796},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{E6461B2B-C9C2-4937-8CB5-06E7A348F3A6},Cats,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:06:59.130000000,,
{F97399E5-291C-4771-B1FC-2193EF4522FC},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Miniature Australian Shepherd,7,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:09:52.950000000,,
{F94F749B-0604-427F-A316-369CA41E5F5F},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{E6461B2B-C9C2-4937-8CB5-06E7A348F3A6},Dogs,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:06:49.307000000,,
{9B0474AD-F316-486F-A9EC-4C18FF5655F0},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{5B9AF381-9041-4C4F-8EDD-37FB1B5F4568},Quarter Horse,3,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:13:02.630000000,,
{9CFF3D91-782C-489C-8AE9-4DA05D367019},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Scottish Terrier,5,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:09:16.210000000,,
{31EC987D-14A4-465A-8826-50512AC619C6},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{1DBB66A4-B6B4-4C71-85F0-464D77A4836E},Siamese,5,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:10:46.120000000,,
